file1,file2,nClonePairs,locations
SSStatement.java,ExpressionFunctionCase.java,0,[]
SSResultSet.java,TestTransactions.java,0,[]
ExpressionFunctionASin.java,ExpressionFunctionYear.java,0,[]
ExpressionFunctionDayOfMonth.java,ExpressionFunctionRound.java,0,[]
ExpressionFunctionATan2.java,ExpressionFunctionTruncate.java,0,[]
TestScrollable.java,ExpressionFunctionExp.java,0,[]
Index.java,ExpressionFunctionATan2.java,0,[]
Language_de.java,ExpressionFunctionCeiling.java,0,[]
TestLanguage.java,ExpressionFunctionDegrees.java,0,[]
Index.java,ExpressionFunction.java,0,[]
ExpressionFunctionMinute.java,ExpressionFunctionMinute.java,0,[]
ExpressionFunctionYear.java,SSCallableStatement.java,0,[]
BenchTest.java,ExpressionFunctionTruncate.java,0,[]
ExpressionFunctionPower.java,ExpressionFunctionASin.java,0,[]
BasicTestCase.java,View.java,0,[]
ExpressionFunctionCos.java,ExpressionFunctionSqrt.java,1,"[<|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionFunctionSqrt.java|(0,1607,<1,0>,<44,1>),|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionFunctionCos.java|(0,1603,<1,0>,<44,1>)>]"
SSStatement.java,Language_de.java,0,[]
ExpressionFunctionCase.java,ExpressionFunctionTan.java,0,[]
TestLanguage.java,Table.java,0,[]
ExpressionFunctionSin.java,SSStatement.java,0,[]
ExpressionFunctionMonth.java,ExpressionFunctionRepeat.java,0,[]
ExpressionFunctionDayOfMonth.java,ExpressionFunctionMonth.java,0,[]
ExpressionFunctionSqrt.java,TestExceptionMethods.java,0,[]
TestAlterTable.java,TableView.java,0,[]
Table.java,ExpressionFunctionDayOfYear.java,0,[]
ExpressionFunctionATan.java,Language_de.java,0,[]
ExpressionFunctionMinute.java,ExpressionFunctionSqrt.java,0,[]
ExpressionFunctionHour.java,ExpressionArithmetic.java,0,[]
TestAlterTable.java,ExpressionFunctionATan.java,0,[]
TableView.java,TestDataTypes.java,0,[]
ExpressionFunctionHour.java,ExpressionFunctionLCase.java,0,[]
ExpressionFunctionMonth.java,ExpressionFunctionCase.java,0,[]
ExpressionFunctionLog.java,TestLanguage.java,0,[]
TestOperatoren.java,ExpressionFunctionUCase.java,0,[]
TestMoneyRounding.java,TestScrollable.java,0,[]
IndexDescription.java,ExpressionFunctionATan.java,0,[]
ExpressionFunction.java,Language_de.java,0,[]
TestOrderBy.java,TestDataTypes.java,0,[]
ExpressionFunctionTan.java,TestFunctions.java,0,[]
TestJoins.java,ExpressionFunctionRadians.java,0,[]
MutableNumeric.java,SSStatement.java,0,[]
IndexScrollStatus.java,TestFunctions.java,0,[]
ExpressionFunctionATan2.java,ExpressionFunctionPower.java,1,"[<|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionFunctionPower.java|(0,1730,<1,0>,<48,1>),|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionFunctionATan2.java|(0,1732,<1,0>,<48,1>)>]"
TestGroupBy.java,ExpressionFunctionSqrt.java,0,[]
ExpressionFunctionYear.java,Language.java,0,[]
TestFunctions.java,Table.java,0,[]
ExpressionFunctionRound.java,ExpressionFunctionRound.java,0,[]
ExpressionFunctionRadians.java,TestScrollable.java,0,[]
ExpressionFunctionMinute.java,ExpressionFunctionPower.java,0,[]
ExpressionFunctionPower.java,ExpressionFunctionACos.java,0,[]
SSStatement.java,ExpressionFunctionRepeat.java,0,[]
TestFunctions.java,ExpressionFunctionDegrees.java,0,[]
ExpressionFunctionExp.java,ExpressionFunctionDayOfYear.java,0,[]
ExpressionFunctionDayOfMonth.java,TestOrderBy.java,0,[]
ExpressionFunction.java,ExpressionFunctionCase.java,0,[]
ExpressionFunctionCase.java,TestJoins.java,0,[]
MutableNumeric.java,ExpressionFunctionCeiling.java,0,[]
ExpressionFunctionPower.java,Utils.java,0,[]
IndexScrollStatus.java,ExpressionFunctionATan2.java,0,[]
ExpressionFunctionMonth.java,Language_de.java,0,[]
ExpressionFunctionLCase.java,Language_it.java,0,[]
ExpressionFunctionTan.java,ExpressionFunction.java,0,[]
SQLTokenizer.java,TableView.java,0,[]
ExpressionFunctionUCase.java,Utils.java,0,[]
TestLanguage.java,ExpressionFunctionATan.java,0,[]
SSStatement.java,View.java,0,[]
BasicTestCase.java,Language_de.java,0,[]
ExpressionFunctionDayOfYear.java,TestJoins.java,0,[]
ExpressionFunctionExp.java,TestExceptions.java,0,[]
Utils.java,ExpressionFunctionATan2.java,0,[]
ExpressionFunctionExp.java,SSResultSet.java,0,[]
ExpressionFunctionUCase.java,ExpressionFunctionACos.java,0,[]
ExpressionFunctionSqrt.java,ExpressionFunctionCase.java,0,[]
Table.java,ExpressionFunctionDayOfMonth.java,0,[]
ExpressionFunctionSin.java,ExpressionFunctionYear.java,0,[]
ExpressionFunctionRepeat.java,SQLTokenizer.java,0,[]
TestOperatoren.java,ExpressionFunctionTan.java,0,[]
ExpressionFunctionCeiling.java,Language.java,0,[]
Table.java,TestAlterTable.java,0,[]
BenchTest.java,TestScrollable.java,0,[]
Utils.java,TestFunctions.java,0,[]
TestExceptionMethods.java,ExpressionFunctionACos.java,0,[]
SSCallableStatement.java,ExpressionFunctionRadians.java,0,[]
TestGroupBy.java,ExpressionFunctionPower.java,0,[]
TestExceptionMethods.java,Utils.java,0,[]
Table.java,ExpressionFunctionHour.java,0,[]
ExpressionFunctionSqrt.java,ExpressionFunctionCeiling.java,1,"[<|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionFunctionSqrt.java|(0,1607,<1,0>,<44,1>),|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionFunctionCeiling.java|(0,1616,<1,0>,<44,1>)>]"
ExpressionFunctionLog.java,ExpressionArithmetic.java,0,[]
ExpressionFunctionLog.java,ExpressionFunctionLCase.java,0,[]
ExpressionFunctionHour.java,TestLanguage.java,0,[]
TestTransactions.java,SSStatement.java,0,[]
ExpressionFunctionExp.java,Language.java,0,[]
TestExceptions.java,ExpressionFunctionASin.java,0,[]
ExpressionFunctionSqrt.java,Language_de.java,0,[]
SSStatement.java,TestExceptionMethods.java,0,[]
TestGroupBy.java,TestStatement.java,0,[]
ExpressionFunctionMinute.java,SSPreparedStatement.java,0,[]
SQLTokenizer.java,Table.java,0,[]
BasicTestCase.java,ExpressionFunctionCase.java,0,[]
Language_de.java,ExpressionFunctionYear.java,0,[]
ExpressionFunctionTruncate.java,ExpressionFunctionASin.java,0,[]
Table.java,SSCallableStatement.java,0,[]
TestScrollable.java,TestAlterTable2.java,0,[]
ExpressionFunctionCeiling.java,TestExceptions.java,0,[]
ExpressionFunctionASin.java,SSStatement.java,0,[]
Utils.java,ExpressionFunction.java,0,[]
SQLTokenizer.java,ExpressionFunctionDegrees.java,0,[]
TestTransactions.java,ExpressionFunctionCeiling.java,0,[]
ExpressionFunctionATan2.java,TestScrollable.java,0,[]
ExpressionFunctionCos.java,ExpressionFunctionLog.java,1,"[<|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionFunctionCos.java|(0,1603,<1,0>,<44,1>),|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionFunctionLog.java|(0,1603,<1,0>,<44,1>)>]"
TestStatement.java,TestOrderBy.java,0,[]
ExpressionFunctionCeiling.java,SSResultSet.java,0,[]
ExpressionFunctionRound.java,ExpressionFunctionCos.java,0,[]
ExpressionFunctionYear.java,ExpressionFunctionDayOfYear.java,0,[]
TestFunctions.java,TableView.java,0,[]
ExpressionFunctionATan.java,ExpressionFunctionCase.java,0,[]
IndexScrollStatus.java,ExpressionFunction.java,0,[]
ExpressionFunctionCeiling.java,ExpressionFunctionDayOfYear.java,0,[]
TestGroupBy.java,SSPreparedStatement.java,0,[]
ExpressionFunctionMinute.java,TestStatement.java,0,[]
ExpressionFunctionYear.java,SSResultSet.java,0,[]
ExpressionFunctionTan.java,ExpressionFunctionATan2.java,0,[]
ExpressionFunctionCeiling.java,ExpressionFunctionDegrees.java,1,"[<|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionFunctionDegrees.java|(0,1620,<1,0>,<44,1>),|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionFunctionCeiling.java|(0,1616,<1,0>,<44,1>)>]"
TestDataTypes.java,TestOrderBy.java,0,[]
ExpressionFunctionRound.java,ExpressionFunctionMonth.java,0,[]
TestAlterTable2.java,ExpressionFunctionYear.java,0,[]
ExpressionArithmetic.java,TestScrollable.java,0,[]
ExpressionFunctionYear.java,TestExceptions.java,0,[]
ExpressionFunctionLCase.java,ExpressionFunctionDegrees.java,0,[]
TestFunctions.java,Language_it.java,0,[]
ExpressionArithmetic.java,ExpressionFunctionMinute.java,0,[]
TestMoneyRounding.java,ExpressionFunctionMinute.java,0,[]
TestJoins.java,ExpressionFunctionASin.java,0,[]
TestOperatoren.java,ExpressionFunctionMonth.java,0,[]
ExpressionFunctionSqrt.java,SSResultSet.java,0,[]
ExpressionFunctionExp.java,ExpressionFunctionCase.java,0,[]
TestScrollable.java,TestMoneyRounding.java,0,[]
ExpressionFunction.java,ExpressionFunctionDayOfYear.java,0,[]
ExpressionFunctionLCase.java,Table.java,0,[]
IndexScrollStatus.java,ExpressionFunctionLCase.java,0,[]
IndexScrollStatus.java,ExpressionArithmetic.java,0,[]
MutableNumeric.java,TestGroupBy.java,0,[]
ExpressionFunctionSqrt.java,TestExceptions.java,0,[]
View.java,ExpressionFunctionYear.java,0,[]
BasicTestCase.java,Language.java,0,[]
MutableNumeric.java,TestTransactions.java,0,[]
ExpressionFunctionRadians.java,ExpressionFunctionMinute.java,0,[]
ExpressionFunctionDayOfYear.java,TestOrderBy.java,0,[]
ExpressionFunctionRound.java,ExpressionFunctionUCase.java,0,[]
ExpressionFunctionCeiling.java,Language_de.java,0,[]
TestGroupBy.java,ExpressionFunctionTruncate.java,0,[]
ExpressionFunctionHour.java,ExpressionFunction.java,0,[]
TestScrollable.java,ExpressionFunctionLog.java,0,[]
ExpressionFunctionCase.java,TestOrderBy.java,0,[]
ExpressionFunctionSin.java,ExpressionFunctionLog.java,1,"[<|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionFunctionSin.java|(0,1603,<1,0>,<44,1>),|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionFunctionLog.java|(0,1603,<1,0>,<44,1>)>]"
ExpressionFunctionYear.java,Language_de.java,0,[]
ExpressionFunctionATan.java,Language.java,0,[]
SSStatement.java,SSCallableStatement.java,0,[]
ExpressionFunctionLog.java,ExpressionFunctionATan2.java,0,[]
ExpressionFunctionDayOfMonth.java,TestJoins.java,0,[]
ExpressionFunctionMonth.java,Language.java,0,[]
ExpressionFunctionTruncate.java,ExpressionFunctionRadians.java,0,[]
ExpressionFunction.java,TestExceptions.java,0,[]
TestOperatoren.java,ExpressionFunctionCos.java,0,[]
BenchTest.java,ExpressionFunctionMinute.java,0,[]
ExpressionFunctionMinute.java,ExpressionFunctionTruncate.java,0,[]
TestAlterTable.java,SQLTokenizer.java,0,[]
ExpressionFunctionLog.java,TestFunctions.java,0,[]
Index.java,TestDataTypes.java,0,[]
Utils.java,ExpressionArithmetic.java,0,[]
Utils.java,ExpressionFunctionLCase.java,0,[]
ExpressionFunction.java,SSResultSet.java,0,[]
TestExceptions.java,ExpressionFunctionRadians.java,0,[]
ExpressionFunctionTan.java,TestLanguage.java,0,[]
Table.java,TestExceptionMethods.java,0,[]
IndexDescription.java,SQLTokenizer.java,0,[]
ExpressionFunctionSqrt.java,ExpressionFunctionDayOfYear.java,0,[]
ExpressionFunctionATan.java,TestExceptions.java,0,[]
SSStatement.java,TestAlterTable.java,0,[]
IndexScrollStatus.java,TestLanguage.java,0,[]
Language.java,Utils.java,0,[]
ExpressionFunctionASin.java,TestTransactions.java,0,[]
SSCallableStatement.java,ExpressionFunctionASin.java,0,[]
SSResultSet.java,ExpressionFunctionYear.java,0,[]
ExpressionFunctionSqrt.java,ExpressionFunctionRadians.java,1,"[<|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionFunctionSqrt.java|(0,1607,<1,0>,<44,1>),|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionFunctionRadians.java|(0,1620,<1,0>,<44,1>)>]"
ExpressionFunctionATan.java,SSResultSet.java,0,[]
Language.java,ExpressionFunctionACos.java,0,[]
ExpressionFunctionYear.java,ExpressionFunctionCase.java,0,[]
TestTransactions.java,TestGroupBy.java,0,[]
SSStatement.java,ExpressionFunctionHour.java,0,[]
SSStatement.java,IndexDescription.java,0,[]
ExpressionFunction.java,Language.java,0,[]
ExpressionFunctionMonth.java,TestExceptions.java,0,[]
ExpressionFunctionLog.java,ExpressionFunction.java,0,[]
SSStatement.java,ExpressionFunctionDayOfMonth.java,0,[]
ExpressionFunctionASin.java,TestGroupBy.java,0,[]
SQLTokenizer.java,Language_it.java,0,[]
ExpressionFunctionRound.java,ExpressionFunctionTan.java,0,[]
BasicTestCase.java,ExpressionFunctionDayOfYear.java,0,[]
ExpressionFunctionATan2.java,ExpressionFunctionMinute.java,0,[]
ExpressionFunctionLCase.java,TableView.java,0,[]
ExpressionFunctionMonth.java,SSResultSet.java,0,[]
BasicTestCase.java,SSResultSet.java,0,[]
