file1,file2,cloneAmount
ExpressionFunctionLocate.java,MutableDouble.java,0
ExpressionFunctionSpace.java,ExpressionFunctionDayOfYear.java,0
ExpressionFunctionACos.java,ExpressionFunctionDayOfYear.java,0
Identity.java,FileIndexNode.java,0
ExpressionFunctionAbs.java,SSSavepoint.java,0
StorePageMap.java,ExpressionFunctionCeiling.java,0
IndexDescription.java,CommandSelect.java,0
Expressions.java,Column.java,0
IndexScrollStatus.java,TestMoneyRounding.java,0
ExpressionFunctionDayOfWeek.java,NoFromResult.java,0
CommandSet.java,SmallSQLException.java,0
ExpressionFunctionRound.java,TestOrderBy.java,0
ExpressionFunctionLog.java,TestTokenizer.java,0
ExpressionFunctionReturnInt.java,ForeignKeys.java,0
Join.java,ExpressionName.java,0
ExpressionFunctionReturnFloat.java,ExpressionFunctionTan.java,0
TableViewMap.java,ExpressionFunctionPI.java,0
AllTests.java,TestDataTypes.java,0
Lobs.java,ForeignKey.java,0
CommandDelete.java,Lobs.java,0
CreateFile.java,ExpressionFunctionDayOfWeek.java,0
ExpressionFunctionFloor.java,CommandDrop.java,0
TestLanguage.java,ExpressionFunctionATan2.java,0
ExpressionFunctionCharLen.java,ExpressionFunctionHour.java,0
TestDeleteUpdate.java,SSResultSet.java,0
MutableInteger.java,ExpressionFunctionSin.java,0
Table.java,LongTreeListEnum.java,0
Database.java,ExpressionFunctionExp.java,0
TableStorePageInsert.java,MemoryResult.java,0
TestMoneyRounding.java,Expressions.java,0
TableViewResult.java,ExpressionFunctionInsert.java,0
TestMoneyRounding.java,AllTests.java,0
Mutable.java,Language_en.java,0
Where.java,DateTime.java,0
CommandSelect.java,ExpressionFunctionRound.java,0
ExpressionFunctionTruncate.java,ExpressionFunctionDayOfYear.java,0
LongTreeListEnum.java,TestLanguage.java,0
ExpressionFunctionLeft.java,ExpressionFunctionDayOfMonth.java,0
MemoryStream.java,ExpressionFunctionCot.java,0
ExpressionFunctionReturnP1StringAndBinary.java,LongTreeList.java,0
ExpressionFunctionRight.java,UnionAll.java,0
ExpressionFunctionCot.java,ExpressionFunctionDayOfWeek.java,0
ExpressionFunctionExp.java,CreateFile.java,0
MemoryResult.java,TestOrderBy.java,0
ExpressionArithmetic.java,ExpressionFunction.java,0
ExpressionFunctionAscii.java,TestStatement.java,0
ExpressionFunctionMonth.java,TransactionStep.java,0
TestExceptionMethods.java,Distinct.java,0
StoreImpl.java,TestStatement.java,0
CommandDrop.java,MutableInteger.java,0
ExpressionFunctionAbs.java,TestOther.java,0
ExpressionValue.java,ExpressionFunctionLCase.java,0
ExpressionFunctionSubstring.java,ExpressionFunctionFloor.java,0
StorePageLink.java,Table.java,0
ExpressionFunctionLCase.java,ExpressionFunctionIIF.java,0
ExpressionFunctionRTrim.java,TestExceptionMethods.java,0
Logger.java,TransactionStep.java,0
ExpressionFunctionOctetLen.java,Lobs.java,0
SSResultSet.java,Language_de.java,0
Logger.java,StorePageLink.java,0
Language.java,ExpressionFunctionSin.java,0
ExpressionFunctionBitLen.java,ExpressionFunctionDayOfWeek.java,0
ExpressionInSelect.java,TestLanguage.java,0
ExpressionFunctionMonth.java,StorePageLink.java,0
Distinct.java,CommandDrop.java,0
DateTime.java,ExpressionFunctionATan.java,0
ExpressionFunctionLeft.java,Expression.java,0
DataSource.java,Language_de.java,0
TransactionStep.java,TableStorePageInsert.java,0
TestScrollable.java,ExpressionFunctionReturnP1StringAndBinary.java,0
TestDBMetaData.java,ExpressionFunctionReturnInt.java,0
FileIndex.java,Lobs.java,0
ExpressionFunctionLeft.java,ExpressionFunctionReplace.java,0
ExpressionFunctionTan.java,GroupResult.java,0
CommandSet.java,Logger.java,0
SQLTokenizer.java,IndexNode.java,0
ExpressionArithmetic.java,ExpressionFunctionReturnString.java,0
ExpressionFunctionMonth.java,ExpressionFunctionInsert.java,0
CommandTable.java,CommandCreateView.java,0
TestJoins.java,Expression.java,0
ExpressionFunctionATan2.java,SSSavepoint.java,0
ExpressionFunctionReturnP1.java,ExpressionFunctionFloor.java,0
TestJoins.java,ExpressionFunctionReplace.java,0
ViewResult.java,StorePage.java,0
SSStatement.java,TestAlterTable.java,0
ExpressionFunctionReturnFloat.java,ExpressionFunctionRepeat.java,0
SSStatement.java,IndexDescription.java,0
DataSource.java,IndexNodeScrollStatus.java,0
ExpressionFunctionMod.java,Join.java,0
ExpressionFunctionSign.java,SQLParser.java,0
ExpressionFunctionPI.java,ExpressionFunctionPI.java,0
Mutable.java,TestExceptions.java,0
ExpressionFunctionDayOfWeek.java,ExpressionFunctionSign.java,0
Command.java,TestScrollable.java,0
ExpressionFunctionLength.java,StoreImpl.java,0
StorePageLink.java,TableStorePageInsert.java,0
ColumnExpression.java,ExpressionFunctionACos.java,0
ExpressionFunctionRight.java,ExpressionFunctionIIF.java,0
Strings.java,MutableDouble.java,0
Column.java,StoreNoCurrentRow.java,0
SSResultSet.java,IndexNodeScrollStatus.java,0
TransactionStep.java,Table.java,0
MemoryResult.java,FileIndexNode.java,0
Logger.java,ExpressionFunctionInsert.java,0
ExpressionFunctionIIF.java,FileIndex.java,0
TestAlterTable.java,CommandSelect.java,0
TestOther.java,Money.java,0
ExpressionFunctionATan2.java,TestOther.java,0
TestResultSet.java,IndexScrollStatus.java,0
SSSavepoint.java,ExpressionFunctionReturnP1Number.java,0
TestJoins.java,ExpressionFunctionDayOfMonth.java,0
CommandDrop.java,TestFunctions.java,0
Store.java,Database.java,0
TableViewResult.java,TransactionStep.java,0
SQLTokenizer.java,ExpressionArithmetic.java,0
SSConnection.java,Money.java,0
ExpressionFunctionSqrt.java,SQLTokenizer.java,0
ExpressionFunctionRound.java,FileIndexNode.java,0
TableViewResult.java,StorePageLink.java,0
ExpressionFunctionSoundex.java,StoreNull.java,0
TestTransactions.java,SSCallableStatement.java,0
ExpressionFunctionLength.java,RowSource.java,0
TestLanguage.java,ExpressionFunctionDegrees.java,0
TestExceptions.java,ExpressionFunctionDayOfYear.java,0
ExpressionFunctionLCase.java,UnionAll.java,0
Lobs.java,ExpressionFunctionRadians.java,0
ExpressionFunctionConvert.java,TableViewResult.java,0
MutableNumeric.java,DateTime.java,0
FileIndexNode.java,ExpressionFunctionSin.java,0
IndexScrollStatus.java,ExpressionFunctionSqrt.java,0
TestMoneyRounding.java,ExpressionFunctionSpace.java,0
Identity.java,TestOrderBy.java,0
ExpressionFunctionRand.java,TestJoins.java,0
CommandDrop.java,TestThreads.java,0
Lobs.java,TestIdentifer.java,0
StorePageLink.java,ExpressionFunctionDegrees.java,0
Strings.java,Expressions.java,0
Strings.java,AllTests.java,0
TransactionStep.java,ExpressionFunctionATan2.java,0
ExpressionFunctionIIF.java,StoreImpl.java,0
ExpressionFunctionReturnP1StringAndBinary.java,ExpressionFunctionAbs.java,0
TableStorePageInsert.java,TestOperatoren.java,0
CommandDelete.java,StoreNoCurrentRow.java,0
Language.java,ExpressionFunctionMinute.java,0
CommandUpdate.java,ExpressionFunctionUCase.java,0
ExpressionFunctionLength.java,FileIndex.java,0
BenchTest.java,TableView.java,0
TestResultSet.java,BenchTest.java,0
ViewResult.java,TestOther.java,0
SSCallableStatement.java,ExpressionFunctionSign.java,0
SSResultSetMetaData.java,TestTokenizer.java,0
CommandSelect.java,Identity.java,0
ExpressionFunctionRound.java,Money.java,0
CommandCreateView.java,ExpressionFunctionLocate.java,0
SSConnection.java,FileIndexNode.java,0
ExpressionFunctionHour.java,ForeignKey.java,0
Where.java,TableStorePage.java,0
Distinct.java,IndexDescriptions.java,0
CommandDrop.java,ExpressionFunctionOctetLen.java,0
JoinScrollIndex.java,ExpressionFunctionATan.java,0
ExpressionFunctionDegrees.java,ExpressionFunctionDayOfMonth.java,0
StorePage.java,ExpressionFunctionInsert.java,0
ExpressionFunctionSubstring.java,ExpressionFunctionCot.java,0
ExpressionFunctionRepeat.java,MutableLong.java,0
SSPreparedStatement.java,ExpressionFunctionTruncate.java,0
ExpressionFunctionLocate.java,ExpressionFunctionSpace.java,0
TestLanguage.java,TableStorePageInsert.java,0
ExpressionFunctionATan2.java,ExpressionFunctionPower.java,1
TestExceptionMethods.java,ExpressionFunctionLeft.java,0
ExpressionFunctionReplace.java,View.java,0
ExpressionFunctionCase.java,JoinScrollIndex.java,0
ExpressionFunctionCos.java,NoFromResult.java,0
Language_it.java,ExpressionFunctionLog10.java,0
MemoryStream.java,ExpressionFunctionFloor.java,0
FileIndex.java,StoreNoCurrentRow.java,0
ExpressionFunctionRight.java,SQLToken.java,0
ExpressionFunctionATan2.java,StorePage.java,0
Mutable.java,Language.java,0
TestAlterTable.java,ExpressionName.java,0
TestDBMetaData.java,TestTransactions.java,0
IndexScrollStatus.java,GroupResult.java,0
ExpressionFunctionFloor.java,IndexDescriptions.java,0
BasicTestCase.java,ExpressionFunctionTimestampAdd.java,0
Language_it.java,ExpressionFunctionLTrim.java,0
ExpressionFunctionCeiling.java,CreateFile.java,0
ExpressionFunctionDegrees.java,Expression.java,0
GroupResult.java,MemoryStream.java,0
TestOther.java,FileIndexNode.java,0
MutableInteger.java,ExpressionFunctionMinute.java,0
TestResultSet.java,Index.java,0
MemoryResult.java,Money.java,0
ExpressionFunctionDegrees.java,ExpressionFunctionReplace.java,0
ExpressionFunctionMinute.java,Store.java,0
ExpressionFunctionRTrim.java,MutableFloat.java,0
CommandDrop.java,ExpressionFunctionRand.java,0
BasicTestCase.java,TestDeleteUpdate.java,0
ExpressionFunctionOctetLen.java,StoreNoCurrentRow.java,0
Where.java,ExpressionFunctionMonth.java,0
ExpressionFunctionRadians.java,ExpressionFunctionReturnString.java,0
TestGroupBy.java,SortedResult.java,0
ExpressionFunctionRight.java,Scrollable.java,0
JoinScroll.java,NoFromResult.java,0
